"zona";"TEL";"TGA";"THH"
"BU03630000";8227949.58125947;3721970.98054346;3004
"BU03630001";9723995.92012172;4944547.60561904;3082
"BU03630002";12135475.407702;5087732.97166233;4565
"BU03630003";7136932.49833356;2847423.97291792;2805
"BU03630004";17177372.2950533;7519267.41748791;6230
"BU03630005";18898982.6974032;9492056.06066915;5650
"BU03630006";38126809.0525474;17663634.5371831;12970
"BU03630007";11679249.3591593;4586812.6745932;4650
"BU03630008";12350934.4732615;5010258.62087844;4715
"BU03630009";20634246.6917686;8516550.2253342;7675
"BU03630110";442987.864190143;175713.057844691;190
"BU03630111";290513.833313912;123479.997355482;100
"BU03630212";3193138.50810929;1832435.57154719;1155
"BU03630213";18329111.6548862;7696644.30666675;6275
"BU03630214";20991953.4032765;8770827.40713626;7825
"BU03630215";3540088.82750201;1293775.36275089;1265
"BU03630216";12700028.7030032;4939491.49827753;5060
"BU03630217";7415933.58586517;2839710.51418389;2960
"BU03630218";10017196.1054155;4158357.35251825;3625
"BU03630219";12601299.1102305;5535820.19091311;4515
"BU03630220";11641223.5129539;4508943.34684777;4550
"BU03630221";12048521.1299691;4556452.50482447;4790
"BU03630222";2694742.75303229;1019851.12956414;1055
"BU03630236";191353.880249058;90671.6786495041;64
"BU03630237";29295911.0087959;12287886.2293526;10095
"BU03630238";8703556.99480101;3441638.60642184;3305
"BU03630239";12948945.7374567;5772863.36779023;4475
"BU03630240";19655096.5188907;7477660.16347423;7430
"BU03630241";11416288.5343397;4661042.2003459;4345
"BU03630242";17203969.1972385;7163381.34914466;6110
"BU03630243";11343503.256968;4690823.26191785;4000
"BU03630376";16900894.1864789;8436204.89387689;4555
"BU03630377";23623137.3681681;9490475.69173361;7980
"BU03630378";18440735.4785613;7593022.10820459;6190
"BU03630379";3033483.07438588;1001906.03010446;1005
"BU03630380";1090310.86267394;388899.389472697;365
"BU03630381";28858862.6045667;14332621.2822889;8440
"BU03630382";20176167.283306;9262382.90169604;6765
"BU03630383";7544146.21640294;3066014.59386494;2500
"BU03630384";18058054.8272799;6074133.99865921;6100
"BU03630385";31575694.4394055;16039465.3606038;8395
"BU03630386";16256525.1341384;7195002.1037681;5470
"BU03630387";13234025.3053796;6915733.62916897;3815
"BU03630388";18576284.1453096;7060364.92402454;5730
"BU03630424";25571336.0336528;10549496.831861;9965
"BU03630425";19859856.5347331;8113775.49885255;7805
"BU03630426";12890746.1668295;4992524.75776874;4890
"BU03630444";18957362.6083885;7610459.72651629;6870
"BU03630445";6354107.37601094;2510988.9180608;2410
"BU03630446";8681310.96479441;3528086.96072076;2760
"BU03630447";17594181.7174802;7057500.15920178;6245
"BU03630448";19619838.0406785;8434213.99194829;6710
"BU03630449";14379479.1559116;6363974.31962222;4240
"BU03630450";2193495.26416001;872168.512279163;845
"BU03630452";23358920.7385389;9207963.36424664;8285
"BU03630453";9405304.50195657;4076144.19266099;3190
"BU03630454";15222180.4363194;5897907.19242767;5740
"BU03630459";2069005.04001997;854554.544483392;735
"BU03630490";22501683.8855471;9961295.98819526;7845
"BU03630491";10720769.4381804;3956779.24853742;4185
"BU03630527";7642222.8023486;3067965.18276367;2930
"BU03630528";18622017.0140957;8514917.10511338;6225
"BU03630529";13385357.1914924;5277601.34403332;4860
"BU03630530";13143194.6156494;4801197.7004;4900
"BU03630531";20032695.6322226;8315620.64030473;7095
"BU03630532";14494773.9393475;5592390.68455472;5250
"BU03630533";26924630.029681;10711393.0639709;9095
"BU03630534";1475894.66230979;846736.226978052;620
"BU03630535";15280499.7611552;6660648.39306708;5395
"BU03630551";7702023.06101467;3665695.96633466;2616
"BU03630555";15002381.981019;5501597.96565032;5780
"BU03630556";27118292.0969168;13677770.443131;7750
"BU03630557";4871389.67730546;1663501.98077979;1970
"BU03630558";4109301.35810313;2090049.45087521;1651
"BU03630660";13414323.497808;4794652.31201948;5115
"BU03630661";11916523.3258933;4677460.91405505;4350
"BU03630662";4923629.93613321;1575365.75601139;1855
"BU03630663";2752894.77045095;993633.202654265;930
"BU03630664";1922460.30511327;588315.674949598;665
"BU03630665";13318484.5128555;4037584.64729038;5110
"BU03630666";11072158.6390644;3644980.96046197;3875
"BU03630667";3314235.22732644;909014.525172472;1250
"BU03630668";16837837.285881;6595991.43012138;5635
"BU03630669";24275841.2487898;12662239.7372773;6285
"BU03630670";16683114.0760479;5887802.22216431;5975
"BU03630671";2169131.66925809;1117231.78866647;845
"BU03630672";180601.700153393;67878.328553318;70
"BU03630673";2508934.85800151;778316.06249406;915
"BU03630792";353651.486249016;155971.815013028;125
"BU03630793";32282208.2441588;12802442.2129866;12385
"BU03630794";35303508.0968458;13395903.5418361;13475
"BU03630795";4866702.88648097;1976184.61425559;1770
"BU03630796";24078001.6471039;8176100.89392203;8945
"BU03630797";14799960.3265712;4651647.1811774;5490
"BU03630798";1825354.48055948;558369.844066781;630
