"zona";"sPM10";"sNOX"
"BU03630000";0.00780604;1.6392684
"BU03630001";0.00773696;1.6247616
"BU03630002";0.00974028;2.0454588
"BU03630003";0.00939488;1.9729248
"BU03630004";0.00594088;1.2475848
"BU03630005";0.00670076;1.4071596
"BU03630006";0.00663168;1.3926528
"BU03630007";0.00787512;1.6537752
"BU03630008";0.00711524;1.4942004
"BU03630009";0.00600996;1.2620916
"BU03630110";0.01056924;2.2195404
"BU03630111";0;0
"BU03630212";0;0
"BU03630213";0.00614812;1.2911052
"BU03630214";0.00559548;1.1750508
"BU03630215";0.0020724;0.435204
"BU03630216";0.0058718;1.233078
"BU03630217";0.00642444;1.3491324
"BU03630218";0.0058718;1.233078
"BU03630219";0.00545732;1.1460372
"BU03630220";0.00697708;1.4651868
"BU03630221";0.00670076;1.4071596
"BU03630222";0.00911856;1.9148976
"BU03630236";0.00842776;1.7698296
"BU03630237";0.00614812;1.2911052
"BU03630238";0.00628628;1.3201188
"BU03630239";0.00331584;0.6963264
"BU03630240";0.0065626;1.378146
"BU03630241";0.00573364;1.2040644
"BU03630242";0.00594088;1.2475848
"BU03630243";0.00683892;1.4361732
"BU03630376";0.00704616;1.4796936
"BU03630377";0.00600996;1.2620916
"BU03630378";0.00511192;1.0735032
"BU03630379";0.0072534;1.523214
"BU03630380";0.01429956;3.0029076
"BU03630381";0.0058718;1.233078
"BU03630382";0.00504284;1.0589964
"BU03630383";0.00469744;0.9864624
"BU03630384";0.00663168;1.3926528
"BU03630385";0.00649352;1.3636392
"BU03630386";0.003454;0.72534
"BU03630387";0.0031086;0.652806
"BU03630388";0.00739156;1.5522276
"BU03630424";0.00580272;1.2185712
"BU03630425";0.00600996;1.2620916
"BU03630426";0.00676984;1.4216664
"BU03630444";0.00676984;1.4216664
"BU03630445";0.006908;1.45068
"BU03630446";0.01091464;2.2920744
"BU03630447";0.01112188;2.3355948
"BU03630448";0.00594088;1.2475848
"BU03630449";0.01464496;3.0754416
"BU03630450";0.00594088;1.2475848
"BU03630452";0.00815144;1.7118024
"BU03630453";0.00683892;1.4361732
"BU03630454";0.00676984;1.4216664
"BU03630459";0.01146728;2.4081288
"BU03630490";0.00642444;1.3491324
"BU03630491";0.00580272;1.2185712
"BU03630527";0.0062172;1.305612
"BU03630528";0.00607904;1.2765984
"BU03630529";0.00607904;1.2765984
"BU03630530";0.00683892;1.4361732
"BU03630531";0.00607904;1.2765984
"BU03630532";0.00573364;1.2040644
"BU03630533";0.0024178;0.507738
"BU03630534";0;0
"BU03630535";0.00013816;0.0290136
"BU03630551";0;0
"BU03630555";0.006908;1.45068
"BU03630556";0.00739156;1.5522276
"BU03630557";0.00663168;1.3926528
"BU03630558";0.00013816;0.0290136
"BU03630660";0.00732248;1.5377208
"BU03630661";0.00683892;1.4361732
"BU03630662";0.00780604;1.6392684
"BU03630663";0.00752972;1.5812412
"BU03630664";0.01195084;2.5096764
"BU03630665";0.00670076;1.4071596
"BU03630666";0.00780604;1.6392684
"BU03630667";0.0093258;1.958418
"BU03630668";0.0065626;1.378146
"BU03630669";0.00525008;1.1025168
"BU03630670";0.00566456;1.1895576
"BU03630671";0.00124344;0.2611224
"BU03630672";0.00953304;2.0019384
"BU03630673";0.01291796;2.7127716
"BU03630792";0;0
"BU03630793";0.00435204;0.9139284
"BU03630794";0.003454;0.72534
"BU03630795";0.00808236;1.6972956
"BU03630796";0.00801328;1.6827888
"BU03630797";0.00732248;1.5377208
"BU03630798";0.0089804;1.885884
